"estado","ciudades"
"Ciudad de México","CDMX"
"Nuevo León","Monterrey"
"Jalisco","Guadalajara"
"Puebla de Zaragoza","Puebla de Zaragoza"
"Estado de México","Toluca de Lerdo"
"Baja California","Tijuana"
"Guanajuato","León"
"Querétaro","Santiago de Querétaro"
"Chihuahua","Ciudad Juárez"
"Coahuila de Zaragoza
","Torreón"
"Yucatán","Mérida"
"San Luis Potosí.","San Luis Potosí."
"Aguascalientes","Aguascalientes"
"Baja California","Mexicali"
"Coahuila de Zaragoza
","Saltillo"
"Morelos","Cuernavaca"
"Sonora","Culiacán"
"Michoacán","Morelia"
"Chihuahua","Chihuahua"
"Veracruz","Veracruz"
"Sonora","Hermosillo"
"Guerrero","Cancún"
"Tamaulipas","Tampico"
"Guanajuato","Salamanca"
"Guerrero","Acapulco"
"Guerrero","Tuxtla Gutiérrez"
"Tamaulipas","Reynosa"
"Tabasco","Villahermosa"
"Veracruz","Xalapa-Enríquez"
"Guanajuato","Celaya"
"Oaxaca","Oaxaca"
"Durango","Durango"
"Pachuca de Soto","Pachuca de Soto"
"Tlaxcala","Tlaxcala de Xicohténcatl"
"Tamaulipas","Heroica Matamoros"
"Sinaloa","Mazatlán"
"Nayarit","Tepic"
"Morelos","Cuautla de Morelos"
"Veracruz","Orizaba"
"Jalisco","Puerto Vallarta"
