"Estado","Museos ",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"2012 1/",2013,2014,2015,2016,"2017 2/",2018,2019
"Aguascalientes",,38107,35867,31441,27849,28160,32849,30417,38146,35574,40234,29890,29403,34981,34177,27438,25813,25553,28064,26205,29191
,"    Visitantes Nacionales",37254,35116,30867,27130,27565,32079,29453,37254,34783,39505,29410,28934,34789,33962,27158,25533,25214,27689,25876,28751
,"    Visitantes Internacionales",853,751,574,719,595,770,964,892,791,729,480,469,192,215,280,280,339,375,329,440
,"Museo Regional de Historia de Aguascalientes",38107,35867,31441,27849,28160,32849,30417,38146,35574,40234,29890,29403,34981,34177,27438,25813,25553,28064,26205,29191
,"    Visitantes Nacionales",37254,35116,30867,27130,27565,32079,29453,37254,34783,39505,29410,28934,34789,33962,27158,25533,25214,27689,25876,28751
,"    Visitantes Internacionales",853,751,574,719,595,770,964,892,791,729,480,469,192,215,280,280,339,375,329,440
,,,,,,,,,,,,,,,,,,,,,
"Baja California",,2603,3394,4821,5803,3385,5460,5864,6858,10343,6766,9140,12316,9716,11985,11364,13130,7842,9792,13491,7963
,"    Visitantes Nacionales",2281,3013,4498,5201,2939,4642,4819,5817,9850,6655,9018,12300,9304,11165,10103,11403,7135,8570,11832,6684
,"    Visitantes Internacionales",322,381,323,602,446,818,1045,1041,493,111,122,16,412,820,1261,1727,707,1222,1659,1279
,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2603,3394,4821,5803,3385,5460,5864,6858,10343,6766,9140,12316,9716,11985,11364,13130,7842,9792,13491,7963
,"    Visitantes Nacionales",2281,3013,4498,5201,2939,4642,4819,5817,9850,6655,9018,12300,9716,11165,10103,11403,7135,8570,11832,6684
,"    Visitantes Internacionales",322,381,323,602,446,818,1045,1041,493,111,122,16,9304,820,1261,1727,707,1222,1659,1279
,,,,,,,,,,,,,,,,,,,,,
"Baja California Sur",,31705,30534,41863,46097,46578,49730,45948,55511,55136,43990,41410,39880,42169,43523,33406,37736,43600,47654,44398,56816
,"    Visitantes Nacionales",19706,17716,27655,28911,31935,33415,29796,37627,39537,35136,34884,33350,35091,34770,25061,28156,34916,39331,35945,47926
,"    Visitantes Internacionales",11999,12818,14208,17186,14643,16315,16152,17884,15599,8854,6526,6530,7078,8753,8345,9580,8684,8323,8453,8890
,"Museo de Las Misiones Jesuíticas",11661,11466,13872,8886,16628,16623,14388,13399,14036,9990,9442,9780,11765,11677,10520,8957,11870,13405,10771,18636
,"    Visitantes Nacionales",6321,6354,8478,8886,10508,10941,9452,7830,8806,6639,7446,7942,10430,9914,7889,5435,8464,10933,8526,16016
,"    Visitantes Internacionales",5340,5112,5394,7002,6120,5682,4936,5569,5230,3351,1996,1838,1335,1763,2631,3522,3406,2472,2245,2620
,"Museo de las Pinturas Rupestres de San Ignacio",0,0,647,2513,2625,3256,3648,3790,3558,3396,2214,2678,2740,2081,1726,1343,13,0,1175,1727
,"    Visitantes Nacionales",0,0,477,1675,1737,2199,2568,2534,2696,2742,1521,2045,2064,1428,1171,605,13,0,915,1407
,"    Visitantes Internacionales",0,0,170,838,888,1057,1080,1256,862,654,693,633,676,653,555,738,0,0,260,320
,"Museo Regional de Antropología e Historia de Baja California Sur",20044,19068,24313,22706,22136,22126,20641,24007,24439,23195,23792,21845,16939,17870,14418,14017,16905,16758,14501,18672
,"    Visitantes Nacionales",13385,11362,16718,15166,16694,15251,13010,16468,19588,19855,21362,19252,13697,13790,11925,11867,14497,14766,12560,16227
,"    Visitantes Internacionales",6659,7706,7595,7540,5442,6875,7631,7539,4851,3340,2430,2593,3242,4080,2493,2150,2408,1992,1941,2445
,"Misión de San Francisco Javier",0,0,3031,4990,5189,7725,7271,14315,13103,7409,5962,5577,10725,11895,6742,13419,14812,17491,17951,17781
,"    Visitantes Nacionales",0,0,1982,3184,2996,5024,4766,10795,8447,5900,4555,4111,8900,9638,4076,10249,11942,13632,13944,14276
,"    Visitantes Internacionales",0,0,1049,1806,2193,2701,2505,3520,4656,1509,1407,1466,1825,2257,2666,3170,2870,3859,4007,3505
,,,,,,,,,,,,,,,,,,,,,
"Campeche",,82543,137038,147131,167627,160872,150370,152255,128671,143568,132307,145195,108167,101456,95902,64009,98190,109115,115582,148528,108041
,"    Visitantes Nacionales",77451,128390,138492,156365,145744,139235,136641,117555,132931,124265,134832,98691,93166,88198,57696,88077,97915,104665,133998,97126
,"    Visitantes Internacionales",5092,8648,8639,11262,15128,11135,15614,11116,10637,8042,10363,9476,8290,7704,6313,10113,11200,10917,14530,10915
,"Museo Arqueológico de Campeche, Fuerte de San Miguel",6787,71055,79142,88599,91158,75596,76421,65868,71501,66512,74695,52733,46375,42322,45154,40725,49632,61730,65812,5103
,"    Visitantes Nacionales",6396,65482,73378,81823,81096,67404,66860,58771,63809,60742,69208,46309,41444,38258,39530,35648,43772,56032,58755,4713
,"    Visitantes Internacionales",391,5573,5764,6776,10062,8192,9561,7097,7692,5770,5487,6424,4931,4064,5624,5077,5860,5698,7057,390
,"Museo de las Estelas Mayas, Baluarte de la Soledad",22007,15503,18196,32302,25797,14203,35462,23656,33149,32857,30094,23572,26881,30309,4948,27040,26055,31532,40431,51569
,"    Visitantes Nacionales",18595,13228,16162,28641,23075,12879,31255,20928,31368,31460,26462,21233,24380,27501,4454,23113,22119,27085,34091,43011
,"    Visitantes Internacionales",3412,2275,2034,3661,2722,1324,4207,2728,1781,1397,3632,2339,2501,2808,494,3927,3936,4447,6340,8558
,"Museo del Camino Real de Hecelchakán",4298,2877,2985,3189,4378,16659,3886,2135,3107,4163,4781,3870,0,4695,3222,2565,2619,2348,2641,3604
,"    Visitantes Nacionales",4225,2810,2912,3128,4177,15794,3502,1929,2962,4034,4633,3816,0,4646,3150,2479,2487,2301,2605,3517
,"    Visitantes Internacionales",73,67,73,61,201,865,384,206,145,129,148,54,0,49,72,86,132,47,36,87
,"Museo Histórico Reducto San José el Alto ""Armas y Marinería""",49451,47603,46808,43537,39539,43912,36486,37012,35811,28775,35625,27992,28200,18576,10685,27860,30809,19972,39644,47765
,"    Visitantes Nacionales",48235,46870,46040,42773,37396,43158,35024,35927,34792,28029,34529,27333,27342,17793,10562,26837,29537,19247,38547,45885
,"    Visitantes Internacionales",1216,733,768,764,2143,754,1462,1085,1019,746,1096,659,858,783,123,1023,1272,725,1097,1880
,,,,,,,,,,,,,,,,,,,,,
"Chiapas",,61850,78705,96493,95401,113585,132233,103508,70345,76859,69803,48661,37822,50300,74357,62526,67956,61845,56409,66372,63163
,"    Visitantes Nacionales",52265,70040,87077,85985,107353,126203,97977,65248,70566,63482,40222,33689,45103,65163,53697,63288,57350,49627,58741,55708
,"    Visitantes Internacionales",9585,8665,9416,9416,6232,6030,5531,5097,6293,6321,8439,4133,5197,9194,8829,4668,4495,6782,7631,7455
,"Museo Arqueológico de Comitán",7735,7679,7862,6669,6186,7029,9370,7343,7353,7387,9870,10003,9270,10776,11785,19782,18763,10853,9970,10259
,"    Visitantes Nacionales",7408,7314,7499,6318,5804,6710,9039,7037,6968,7025,8383,9549,8687,10441,11465,19259,18218,10365,9490,9585
,"    Visitantes Internacionales",327,365,363,351,382,319,331,306,385,362,1487,454,583,335,320,523,545,488,480,674
,"Museo Arqueológico del Soconusco",12077,9769,10897,0,0,13347,10503,12428,12044,8553,15664,11111,14556,13435,8043,0,0,0,0,0
,"    Visitantes Nacionales",8882,8340,10048,0,0,12507,9615,10445,9352,5052,9562,7620,10520,7728,2790,0,0,0,0,0
,"    Visitantes Internacionales",3195,1429,849,0,0,840,888,1983,2692,3501,6102,3491,4036,5707,5253,0,0,0,0,0
,"Museo de los Altos de Chiapas",22676,30113,30564,36755,36013,25761,27229,26961,36357,35734,5472,0,4955,30608,26558,34408,30764,29652,38558,41429
,"    Visitantes Nacionales",17261,24182,23347,28958,31275,22124,24038,24580,33588,33618,4903,0,4812,27914,23573,30509,26936,23771,31705,34873
,"    Visitantes Internacionales",5415,5931,7217,7797,4738,3637,3191,2381,2769,2116,569,0,143,2694,2985,3899,3828,5881,6853,6556
,"Museo Regional de Chiapas",19362,31144,47170,51977,71386,86096,56406,23613,21105,18129,17655,16708,21519,19538,16140,13766,12318,15904,17844,11475
,"    Visitantes Nacionales",18714,30204,46183,50709,70274,84862,55285,23186,20658,17787,17374,16520,21084,19080,15869,13520,12196,15491,17546,11250
,"    Visitantes Internacionales",648,940,987,1268,1112,1234,1121,427,447,342,281,188,435,458,271,246,122,413,298,225
,,,,,,,,,,,,,,,,,,,,,
