"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
"Baja California",,15.874,17.333,14.488,16.632,13.082,10.586,11.925,10.207,10.323,12.592,9.639,13.026,12.949,12.867,14.294,14.187,17.112,17.139,17.748,17.621
,"    Visitantes Nacionales",15.446,17.133,14.224,16.411,12.829,10.430,11.629,10.046,10.228,12.472,9.496,12.961,12.907,12.859,14.290,14.144,17.048,17.102,17.660,17.515
,"    Visitantes Internacionales",428,200,264,221,253,156,296,161,95,120,143,65,42,8,4,43,64,37,88,106
,"Z.A. de El Vallecito",15.874,17.333,14.488,16.632,13.082,10.586,11.925,10.207,10.323,12.592,9.639,13.026,12.949,12.867,14.294,14.187,17.112,17.139,17.748,17.621
,"    Visitantes Nacionales",15.446,17.133,14.224,16.411,12.829,10.430,11.629,10.046,10.228,12.472,9.496,12.961,12.907,12.859,14.290,14.144,17.048,17.102,17.660,17.515
,"    Visitantes Internacionales",428,200,264,221,253,156,296,161,95,120,143,65,42,8,4,43,64,37,88,106
,,,,,,,,,,,,,,,,,,,,,
"Baja California Sur",,0,0,3.206,0,0,2.388,1.875,1.543,2.264,1.896,2.078,1.857,1.948,1.868,1.733,1.996,2.801,2.816,2.437,2.592
,"    Visitantes Nacionales",0,0,1.735,0,0,1.165,1.040,938,1.534,1.104,1.323,1.275,1.498,1.316,868,1.033,1.563,1.601,1.455,1.795
,"    Visitantes Internacionales",0,0,1.471,0,0,1.223,835,605,730,792,755,582,450,552,865,963,1.238,1.215,982,797
,"Z.A. de San Francisco de la Sierra",0,0,3.206,0,0,2.388,1.875,1.543,2.264,1.896,2.078,1.857,1.948,1.868,1.733,1.996,2.801,2.816,2.437,2.592
,"    Visitantes Nacionales",0,0,1.735,0,0,1.165,1.040,938,1.534,1.104,1.323,1.275,1.498,1.316,868,1.033,1.563,1.601,1.455,1.795
,"    Visitantes Internacionales",0,0,1.471,0,0,1.223,835,605,730,792,755,582,450,552,865,963,1.238,1.215,982,797
,,,,,,,,,,,,,,,,,,,,,
"Campeche",,131.683,126.519,97.375,111.415,123.135,115.810,100.291,116.578,122.456,121.153,112.118,123.370,145.849,123.312,134.525,144.319,161.824,163.519,159.800,165.518
