"estado","ciudades"
"Aguascalientes","Aguascalientes"
"Baja California","Tijuana"
"Baja California","Mexicali"
"Chiapas","Tuxtla Gutiérrez"
"Chihuahua","Ciudad Juárez"
"Chihuahua","Chihuahua"
"Ciudad de México","Ciudad de México"
"Coahuila
","Torreón"
"Coahuila
","Saltillo"
"Durango","Durango"
"Estado de México","Toluca de Lerdo"
"Guanajuato","Guanajuato"
"Guanajuato","León"
"Guanajuato","Salamanca"
"Guanajuato","Celaya"
"Guerrero","Acapulco"
"Jalisco","Guadalajara"
"Jalisco","Puerto Vallarta"
"Michoacán","Morelia"
"Morelos","Cuernavaca"
"Morelos","Cuautla de Morelos"
"Nayarit","Tepic"
"Nuevo León","Monterrey"
"Oaxaca","Oaxaca de Juárez"
"Hidalgo","Pachuca de Soto"
"Puebla de Zaragoza","Puebla de Zaragoza"
"Querétaro","Santiago de Querétaro"
"Quintana Roo","Cancún"
"San Luis Potosí","San Luis Potosí"
"Sinaloa","Mazatlán"
"Sonora","Culiacán"
"Sonora","Hermosillo"
"Tabasco","Villahermosa"
"Tamaulipas","Tampico"
"Tamaulipas","Reynosa"
"Tamaulipas","Heroica Matamoros"
"Tlaxcala","Tlaxcala de Xicohténcatl"
"Veracruz","Veracruz"
"Veracruz","Xalapa-Enríquez"
"Veracruz","Orizaba"
"Yucatán","Mérida"
