operacion,tamano_matriz_cuadrada,tiempo(ms),tamano
suma_cuda,10x10,0.30,10.00
suma_secu,10x10,0.00,10.00
suma_cuda,10x10,0.40,10.00
suma_secu,10x10,0.00,10.00
suma_cuda,100x100,0.30,100.00
suma_secu,100x100,0.10,100.00
suma_cuda,100x100,0.40,100.00
suma_secu,100x100,0.10,100.00
suma_cuda,500x500,1.00,500.00
suma_secu,500x500,2.50,500.00
suma_cuda,500x500,1.10,500.00
suma_secu,500x500,2.40,500.00
suma_cuda,1500x1500,4.70,"1,500.00"
suma_secu,1500x1500,63.00,"1,500.00"
suma_cuda,1500x1500,4.40,"1,500.00"
suma_secu,1500x1500,56.20,"1,500.00"
suma_cuda,5000x5000,70.50,"5,000.00"
suma_secu,5000x5000,"1,078.70","5,000.00"
suma_cuda,5000x5000,67.70,"5,000.00"
suma_secu,5000x5000,"1,075.00","5,000.00"
suma_cuda,10000x10000,272.30,"10,000.00"
suma_secu,10000x10000,"5,149.90","10,000.00"
suma_cuda,10000x10000,276.70,"10,000.00"
suma_secu,10000x10000,"5,219.40","10,000.00"
suma_cuda,15000x15000,616.50,"15,000.00"
suma_secu,15000x15000,"12,037.50","15,000.00"
suma_cuda,15000x15000,611.90,"15,000.00"
suma_secu,15000x15000,"11,973.50","15,000.00"
multiplicacion_cuda,10x10,0.30,10.00
multiplicacion_secu,10x10,0.00,10.00
multiplicacion_cuda,10x10,0.40,10.00
multiplicacion_secu,10x10,0.00,10.00
multiplicacion_cuda,100x100,0.30,100.00
multiplicacion_secu,100x100,3.10,100.00
multiplicacion_cuda,100x100,0.30,100.00
multiplicacion_secu,100x100,3.60,100.00
multiplicacion_cuda,500x500,1.20,500.00
multiplicacion_secu,500x500,521.60,500.00
multiplicacion_cuda,500x500,1.10,500.00
multiplicacion_secu,500x500,513.90,500.00
multiplicacion_cuda,1500x1500,4.90,"1,500.00"
multiplicacion_secu,1500x1500,"21,253.80","1,500.00"
multiplicacion_cuda,1500x1500,4.40,"1,500.00"
multiplicacion_secu,1500x1500,"20,247.90","1,500.00"
multiplicacion_cuda,2500x2500,14.90,"2,500.00"
multiplicacion_secu,2500x2500,"143,252.60","2,500.00"
multiplicacion_cuda,2500x2500,15.90,"2,500.00"
multiplicacion_secu,2500x2500,"143,336.30","2,500.00"
multiplicacion_cuda,3000x3000,24.40,"3,000.00"
multiplicacion_secu,3000x3000,"269,987.60","3,000.00"
multiplicacion_cuda,3000x3000,25.10,"3,000.00"
multiplicacion_secu,3000x3000,"272,512.30","3,000.00"
