"FECHA","TIPO","CONCATENAD","SEMANA","SEMANA_COMPLETAS"
2011-01-01,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",1,1
2011-01-04,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",1,1
2011-01-16,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",3,3
2011-01-21,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",3,3
2011-01-21,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",3,3
2011-01-23,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",4,4
2011-01-25,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",4,4
2011-01-25,"CRISTAL","CRISTAL/VEHICULO/OPORTUNISTA",4,4
2011-02-03,"MOTOCICLETA","MOTOCICLETA/MOTO/PARTICULAR/OPORTUNISTA",5,5
2011-02-07,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",6,6
2011-02-08,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/OPORTUNISTA",6,6
2011-02-21,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/OPORTUNISTA",8,8
2011-02-23,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",8,8
2011-02-28,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",9,9
2011-03-03,"TRANSEUNTE","TRANSEUNTE/PERSONA/TUMBADOR",9,9
2011-03-11,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/OPORTUNISTA",10,10
2011-03-12,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",11,11
2011-03-18,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",11,11
2011-03-27,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",13,13
2011-04-06,"COMERCIAL","COMERCIAL/COMERCIO/HORMIGA",14,14
2011-04-19,"MOTOCICLETA","MOTOCICLETA/MOTO/PARTICULAR/ESTACIONADO",16,16
2011-04-20,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",16,16
2011-05-07,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",19,19
2011-05-26,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",21,21
2011-05-28,"VEHICULO","VEHICULO/VEHICULO EMPRESA/INDUSTRIA/AUTOPARTES",22,22
2011-05-30,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",22,22
2011-06-01,"COMERCIAL","COMERCIAL/PRESTADOR DE SERVICIO/VIOLACHAPAS",22,22
2011-06-03,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",22,22
2011-06-13,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",24,24
2011-06-14,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",24,24
2011-06-19,"COMERCIAL","COMERCIAL/COMERCIO/VIOLACHAPAS",25,25
2011-06-23,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",25,25
2011-07-01,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",26,26
2011-07-04,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",27,27
2011-07-07,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/AUTOPARTES",27,27
2011-07-08,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",27,27
2011-07-15,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",28,28
2011-07-24,"VEHICULO","VEHICULO/VEHICULO EMPRESA/INDUSTRIA/ASALTO",30,30
