c000001,c000002
1,0.501081
2,0.500921
3,0.499908
4,0.499327
5,0.500131
6,0.499044
7,0.500165
8,0.500345
9,0.500179
10,0.499829
11,0.499666
12,0.499513
13,0.500196
14,0.500036
15,0.499604
16,0.499379
17,0.499721
18,0.499962
19,0.499772
20,0.499415
21,0.499195
22,0.499984
23,0.499234
24,0.500392
25,0.500323
26,0.499695
27,0.500026
28,0.500556
29,0.49938
30,0.500007
31,0.500069
32,0.500451
33,0.500193
34,0.499124
35,0.500531
36,0.4996
37,0.498187
38,0.499923
39,0.499102
40,0.500609
41,0.499803
42,0.500472
43,0.501199
44,0.501195
45,0.500599
46,0.4993
47,0.500645
48,0.499287
49,0.500477
50,0.500209
