ciudad,museo_internacionales,museo_nacionales,zona_arqueologica_internacionales,zona_arqueologica_nacionales
Acapulco,6756.0,58397.0,37.0,2618.0
Aguascalientes,440.0,28751.0,0.0,0.0
Cancún,46738.0,42129.0,13786.0,23527.0
Celaya,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0
Ciudad Juárez,8790.0,92409.0,0.0,0.0
Ciudad de México,677320.0,7299108.0,54362.0,197499.0
Cuautla de Morelos,52.0,2973.0,0.0,0.0
Cuernavaca,10735.0,93162.0,0.0,0.0
Culiacán,0.0,0.0,0.0,0.0
Durango,0.0,0.0,0.0,0.0
Guadalajara,4325.0,114801.0,312.0,13983.0
Guanajuato,13511.0,215587.0,0.0,0.0
Hermosillo,0.0,0.0,0.0,0.0
Heroica Matamoros,0.0,0.0,0.0,0.0
León,0.0,0.0,0.0,0.0
Mazatlán,1186.0,20508.0,0.0,0.0
Mexicali,0.0,0.0,0.0,0.0
Monterrey,740.0,31155.0,0.0,0.0
Morelia,480.0,16451.0,0.0,0.0
Mérida,11804.0,82202.0,1582714.0,1016794.0
Oaxaca de Juárez,47946.0,189088.0,0.0,0.0
Orizaba,0.0,0.0,0.0,0.0
Pachuca de Soto,653.0,32932.0,0.0,0.0
Puebla de Zaragoza,5184.0,217900.0,519.0,33290.0
Puerto Vallarta,6312.0,13848.0,0.0,0.0
Reynosa,0.0,0.0,0.0,0.0
Salamanca,0.0,4058.0,0.0,0.0
Saltillo,0.0,0.0,0.0,0.0
San Luis Potosí,1214.0,26174.0,0.0,0.0
Santiago de Querétaro,3202.0,93886.0,0.0,0.0
Tampico,71.0,7300.0,48.0,2636.0
Tepic,258.0,18171.0,0.0,0.0
Tijuana,0.0,0.0,106.0,17515.0
Tlaxcala de Xicohténcatl,160.0,27038.0,0.0,0.0
Toluca de Lerdo,7473.0,23114.0,88.0,58164.0
Torreón,44.0,25695.0,0.0,0.0
Tuxtla Gutiérrez,0.0,0.0,4116.0,23157.0
Veracruz,2778.0,271805.0,0.0,0.0
Villahermosa,0.0,0.0,0.0,0.0
Xalapa-Enríquez,0.0,0.0,0.0,0.0
