estado,museo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,clas_visitantes
Aguascalientes,Total Estado,38107.0,35867.0,31441.0,27849.0,28160.0,32849.0,30417.0,38146.0,35574.0,40234.0,29890.0,29403.0,34981.0,34177.0,27438.0,25813.0,25553.0,28064.0,26205.0,29191.0,Total Visitantes
Aguascalientes,Total Estado,37254.0,35116.0,30867.0,27130.0,27565.0,32079.0,29453.0,37254.0,34783.0,39505.0,29410.0,28934.0,34789.0,33962.0,27158.0,25533.0,25214.0,27689.0,25876.0,28751.0,    Visitantes Nacionales
Aguascalientes,Total Estado,853.0,751.0,574.0,719.0,595.0,770.0,964.0,892.0,791.0,729.0,480.0,469.0,192.0,215.0,280.0,280.0,339.0,375.0,329.0,440.0,    Visitantes Internacionales
Aguascalientes,Museo Regional de Historia de Aguascalientes,38107.0,35867.0,31441.0,27849.0,28160.0,32849.0,30417.0,38146.0,35574.0,40234.0,29890.0,29403.0,34981.0,34177.0,27438.0,25813.0,25553.0,28064.0,26205.0,29191.0,Total Visitantes
Aguascalientes,Museo Regional de Historia de Aguascalientes,37254.0,35116.0,30867.0,27130.0,27565.0,32079.0,29453.0,37254.0,34783.0,39505.0,29410.0,28934.0,34789.0,33962.0,27158.0,25533.0,25214.0,27689.0,25876.0,28751.0,    Visitantes Nacionales
Aguascalientes,Museo Regional de Historia de Aguascalientes,853.0,751.0,574.0,719.0,595.0,770.0,964.0,892.0,791.0,729.0,480.0,469.0,192.0,215.0,280.0,280.0,339.0,375.0,329.0,440.0,    Visitantes Internacionales
Baja California,Total Estado,2603.0,3394.0,4821.0,5803.0,3385.0,5460.0,5864.0,6858.0,10343.0,6766.0,9140.0,12316.0,9716.0,11985.0,11364.0,13130.0,7842.0,9792.0,13491.0,7963.0,Total Visitantes
Baja California,Total Estado,2281.0,3013.0,4498.0,5201.0,2939.0,4642.0,4819.0,5817.0,9850.0,6655.0,9018.0,12300.0,9304.0,11165.0,10103.0,11403.0,7135.0,8570.0,11832.0,6684.0,    Visitantes Nacionales
Baja California,Total Estado,322.0,381.0,323.0,602.0,446.0,818.0,1045.0,1041.0,493.0,111.0,122.0,16.0,412.0,820.0,1261.0,1727.0,707.0,1222.0,1659.0,1279.0,    Visitantes Internacionales
Baja California,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2603.0,3394.0,4821.0,5803.0,3385.0,5460.0,5864.0,6858.0,10343.0,6766.0,9140.0,12316.0,9716.0,11985.0,11364.0,13130.0,7842.0,9792.0,13491.0,7963.0,Total Visitantes
Baja California,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2281.0,3013.0,4498.0,5201.0,2939.0,4642.0,4819.0,5817.0,9850.0,6655.0,9018.0,12300.0,9716.0,11165.0,10103.0,11403.0,7135.0,8570.0,11832.0,6684.0,    Visitantes Nacionales
Baja California,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",322.0,381.0,323.0,602.0,446.0,818.0,1045.0,1041.0,493.0,111.0,122.0,16.0,9304.0,820.0,1261.0,1727.0,707.0,1222.0,1659.0,1279.0,    Visitantes Internacionales
Baja California Sur,Total Estado,31705.0,30534.0,41863.0,46097.0,46578.0,49730.0,45948.0,55511.0,55136.0,43990.0,41410.0,39880.0,42169.0,43523.0,33406.0,37736.0,43600.0,47654.0,44398.0,56816.0,Total Visitantes
Baja California Sur,Total Estado,19706.0,17716.0,27655.0,28911.0,31935.0,33415.0,29796.0,37627.0,39537.0,35136.0,34884.0,33350.0,35091.0,34770.0,25061.0,28156.0,34916.0,39331.0,35945.0,47926.0,    Visitantes Nacionales
Baja California Sur,Total Estado,11999.0,12818.0,14208.0,17186.0,14643.0,16315.0,16152.0,17884.0,15599.0,8854.0,6526.0,6530.0,7078.0,8753.0,8345.0,9580.0,8684.0,8323.0,8453.0,8890.0,    Visitantes Internacionales
Baja California Sur,Museo de Las Misiones Jesuíticas,11661.0,11466.0,13872.0,8886.0,16628.0,16623.0,14388.0,13399.0,14036.0,9990.0,9442.0,9780.0,11765.0,11677.0,10520.0,8957.0,11870.0,13405.0,10771.0,18636.0,Total Visitantes
Baja California Sur,Museo de Las Misiones Jesuíticas,6321.0,6354.0,8478.0,8886.0,10508.0,10941.0,9452.0,7830.0,8806.0,6639.0,7446.0,7942.0,10430.0,9914.0,7889.0,5435.0,8464.0,10933.0,8526.0,16016.0,    Visitantes Nacionales
Baja California Sur,Museo de Las Misiones Jesuíticas,5340.0,5112.0,5394.0,7002.0,6120.0,5682.0,4936.0,5569.0,5230.0,3351.0,1996.0,1838.0,1335.0,1763.0,2631.0,3522.0,3406.0,2472.0,2245.0,2620.0,    Visitantes Internacionales
Baja California Sur,Museo de las Pinturas Rupestres de San Ignacio,0.0,0.0,647.0,2513.0,2625.0,3256.0,3648.0,3790.0,3558.0,3396.0,2214.0,2678.0,2740.0,2081.0,1726.0,1343.0,13.0,0.0,1175.0,1727.0,Total Visitantes
Baja California Sur,Museo de las Pinturas Rupestres de San Ignacio,0.0,0.0,477.0,1675.0,1737.0,2199.0,2568.0,2534.0,2696.0,2742.0,1521.0,2045.0,2064.0,1428.0,1171.0,605.0,13.0,0.0,915.0,1407.0,    Visitantes Nacionales
Baja California Sur,Museo de las Pinturas Rupestres de San Ignacio,0.0,0.0,170.0,838.0,888.0,1057.0,1080.0,1256.0,862.0,654.0,693.0,633.0,676.0,653.0,555.0,738.0,0.0,0.0,260.0,320.0,    Visitantes Internacionales
Baja California Sur,Museo Regional de Antropología e Historia de Baja California Sur,20044.0,19068.0,24313.0,22706.0,22136.0,22126.0,20641.0,24007.0,24439.0,23195.0,23792.0,21845.0,16939.0,17870.0,14418.0,14017.0,16905.0,16758.0,14501.0,18672.0,Total Visitantes
Baja California Sur,Museo Regional de Antropología e Historia de Baja California Sur,13385.0,11362.0,16718.0,15166.0,16694.0,15251.0,13010.0,16468.0,19588.0,19855.0,21362.0,19252.0,13697.0,13790.0,11925.0,11867.0,14497.0,14766.0,12560.0,16227.0,    Visitantes Nacionales
