centro_turístico,categoria,corredor_turístico,cuartos_disponibles_promedio,cuartos_disponibles_x,cuartos_disponibles_y,cuartos_ocupados_total_x,porcentaje_de_ocupación_total,llegada_de_turistas_total,llegada_de_turistas_nacionales,llegada_de_turistas_extranjeros,turistas_noche_total_x,turistas_noche_nacionales_x,turistas_noche_extranjeros_x,estadía_total,estadía_nacionales,estadía_extranjeros,turistas_noche_total_y,turistas_noche_nacionales_y,turistas_noche_extranjeros_y,cuartos_ocupados_total_y,densidad_total
Bahías de Huatulco,estrella_1,Sin Corredor Turístico,110.12054794520547,40194,40194,23021,0.572747176195452,26363,26090,273,52846,52308,538,2.0045518340097863,2.004906094289,1.9706959706959708,52846,52308,538,23021,2.295556231267104
Bahías de Huatulco,estrellas_2,Sin Corredor Turístico,2633.5178082191783,961234,961234,419879,0.43681247230122944,679307,670195,9112,927575,913667,13908,1.3654724594329222,1.3632853124836801,1.5263388937664617,927575,913667,13908,419879,2.2091483498817515
Bahías de Huatulco,estrellas_3,Sin Corredor Turístico,6832.8027397260275,2493973,2493973,888335,0.35619270938378245,1242461,1218362,24099,2382146,2325097,57049,1.9172803009510964,1.908379447159383,2.3672766504834226,2382146,2325097,57049,888335,2.681585212785717
Bahías de Huatulco,estrellas_4,Sin Corredor Turístico,20014.857534246574,7305423,7305423,3720883,0.5093316293936709,2418061,2168430,249631,8068923,6578555,1490368,3.3369393906936176,3.0337871178686884,5.970284139389739,8068923,6578555,1490368,3720883,2.1685505832889667
Bahías de Huatulco,estrellas_5,Sin Corredor Turístico,42242.23561643835,15418416,15418416,8891792,0.5766994482442295,4183221,3309119,874102,18951460,13053603,5897857,4.530351133731639,3.944736650449863,6.7473326911504605,18951460,13053603,5897857,8891792,2.1313431533261236
Cabo San Lucas,estrella_1,Los Cabos,468.44931506849315,170984,170984,84524,0.4943386515697375,39240,29293,9947,154855,117941,36914,3.946355759429154,4.026252005598607,3.7110686639187693,154855,117941,36914,84524,1.8320831953054755
Cabo San Lucas,estrellas_2,Los Cabos,836.3287671232877,305260,305260,105584,0.3458821987813667,84813,62014,22799,201838,125924,75914,2.379800266468584,2.0305737414132294,3.329707443308917,201838,125924,75914,105584,1.9116343385361418
Cabo San Lucas,estrellas_3,Los Cabos,6151.0191780821915,2245122,2245122,1267773,0.5646788905012734,822580,610307,212273,2429115,1683255,745860,2.953044080818887,2.7580463602744194,3.513682851799334,2429115,1683255,745860,1267773,1.9160488510167042
Cabo San Lucas,estrellas_4,Los Cabos,8367.26301369863,3054051,3054051,1550778,0.5077773750340122,843824,320406,523418,3141710,1005382,2136328,3.723181611331273,3.137837618521501,4.0814950956978935,3141710,1005382,2136328,1550778,2.025892809931531
Cabo San Lucas,estrellas_5,Los Cabos,70206.72328767124,25625454,25625454,18759256,0.7320555569474008,8160611,1081402,7079209,45356394,4437861,40918533,5.557965451361424,4.1038032110168094,5.780099584572231,45356394,4437861,40918533,18759256,2.417814118001268
