origen,Acapulco,Aguascalientes,Cancún,Chihuahua,Ciudad Juárez,Ciudad de México,Culiacán,Durango,Guadalajara,Hermosillo,Heroica Matamoros,León,Mazatlán,Mexicali,Monterrey,Morelia,Mérida,Oaxaca de Juárez,Pachuca de Soto,Puebla de Zaragoza,Puerto Vallarta,Reynosa,Saltillo,San Luis Potosí,Santiago de Querétaro,Tampico,Tepic,Tijuana,Toluca de Lerdo,Torreón,Tuxtla Gutiérrez,Veracruz,Villahermosa
Acapulco,0.0,0.0,3738.0,0.0,0.0,288684.0,0.0,0.0,20970.0,0.0,0.0,0.0,0.0,0.0,22920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.0,0.0,0.0,43477.0,26210.0,131.0,0.0,0.0,0.0
Aguascalientes,0.0,0.0,29995.0,0.0,0.0,201213.0,0.0,0.0,24.0,0.0,0.0,12.0,0.0,0.0,734.0,0.0,0.0,0.0,0.0,0.0,9624.0,0.0,0.0,0.0,0.0,0.0,0.0,85345.0,0.0,0.0,0.0,0.0,0.0
Cancún,3857.0,29073.0,0.0,44225.0,49577.0,2527075.0,0.0,0.0,446935.0,3760.0,0.0,172711.0,124.0,0.0,699007.0,0.0,65.0,4897.0,0.0,117531.0,0.0,35047.0,0.0,34563.0,74658.0,24686.0,0.0,27497.0,64025.0,16708.0,72294.0,110216.0,43548.0
Chihuahua,0.0,0.0,43010.0,0.0,11733.0,408212.0,8670.0,0.0,89059.0,22198.0,0.0,0.0,0.0,8214.0,118442.0,0.0,10597.0,0.0,0.0,0.0,5557.0,0.0,0.0,0.0,21302.0,0.0,0.0,39943.0,0.0,9.0,0.0,0.0,0.0
Ciudad Juárez,0.0,0.0,47644.0,12082.0,0.0,328506.0,15465.0,4423.0,156810.0,19106.0,0.0,65494.0,3839.0,0.0,85780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,2.0,0.0,0.0,33259.0,0.0,6917.0,0.0,0.0,0.0
Ciudad de México,289342.0,198024.0,2482212.0,415660.0,351382.0,0.0,341824.0,115506.0,1694357.0,427260.0,27762.0,267506.0,237007.0,232625.0,1817372.0,42408.0,935321.0,380159.0,0.0,0.0,544067.0,147915.0,16263.0,154003.0,57948.0,210110.0,42833.0,1091523.0,0.0,252775.0,492760.0,314393.0,405222.0
Culiacán,0.0,0.0,0.0,8091.0,16275.0,339341.0,0.0,0.0,168332.0,9465.0,0.0,0.0,0.0,61298.0,69576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459453.0,0.0,0.0,0.0,0.0,0.0
Durango,0.0,0.0,0.0,49.0,4425.0,113855.0,0.0,0.0,15844.0,0.0,0.0,0.0,0.0,0.0,19053.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,988.0,0.0,0.0,54322.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,19848.0,0.0,441444.0,88000.0,164203.0,1692737.0,165775.0,16800.0,0.0,201162.0,0.0,109.0,0.0,228579.0,425389.0,0.0,115780.0,29333.0,0.0,48519.0,62123.0,29990.0,0.0,0.0,24259.0,12730.0,0.0,893917.0,29329.0,29092.0,73552.0,81075.0,41438.0
Hermosillo,0.0,0.0,3675.0,21272.0,19582.0,410210.0,9410.0,0.0,193501.0,0.0,0.0,0.0,2868.0,8555.0,99127.0,0.0,12960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85448.0,0.0,0.0,0.0,0.0,0.0
