origen,Acapulco,Aguascalientes,Cancún,Chihuahua,Ciudad Juárez,Ciudad de México,Culiacán,Durango,Guadalajara,Hermosillo,Heroica Matamoros,León,Mazatlán,Mexicali,Monterrey,Morelia,Mérida,Oaxaca de Juárez,Pachuca de Soto,Puebla de Zaragoza,Puerto Vallarta,Reynosa,Saltillo,San Luis Potosí,Santiago de Querétaro,Tampico,Tepic,Tijuana,Toluca de Lerdo,Torreón,Tuxtla Gutiérrez,Veracruz,Villahermosa
Acapulco,0.0,0.0,28.0,0.0,0.0,4333.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,264.0,347.0,1.0,0.0,0.0,0.0
Aguascalientes,0.0,0.0,200.0,0.0,0.0,2495.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0
Cancún,28.0,200.0,0.0,506.0,334.0,16571.0,0.0,0.0,2841.0,32.0,0.0,1184.0,1.0,0.0,5299.0,0.0,462.0,38.0,0.0,786.0,0.0,228.0,0.0,248.0,489.0,166.0,0.0,173.0,491.0,119.0,493.0,705.0,298.0
Chihuahua,0.0,0.0,504.0,0.0,744.0,3476.0,286.0,0.0,555.0,511.0,0.0,0.0,0.0,87.0,1486.0,0.0,87.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,592.0,0.0,0.0,327.0,0.0,1.0,0.0,0.0,0.0
Ciudad Juárez,0.0,0.0,334.0,747.0,0.0,2730.0,138.0,169.0,1079.0,531.0,0.0,478.0,141.0,0.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,447.0,0.0,230.0,0.0,0.0,0.0
Ciudad de México,4328.0,2493.0,16582.0,3476.0,2728.0,0.0,2985.0,1549.0,13507.0,3104.0,371.0,3380.0,2168.0,1536.0,13744.0,728.0,7069.0,4825.0,0.0,0.0,4585.0,1392.0,253.0,2898.0,1038.0,2387.0,815.0,7119.0,0.0,2687.0,4221.0,4633.0,3760.0
Culiacán,0.0,0.0,0.0,286.0,138.0,2986.0,0.0,0.0,1048.0,467.0,0.0,0.0,0.0,439.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.0,0.0,0.0,0.0,0.0,0.0
Durango,0.0,0.0,0.0,2.0,166.0,1546.0,0.0,0.0,406.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,333.0,0.0,2848.0,553.0,1080.0,13819.0,1052.0,407.0,0.0,1247.0,0.0,2.0,0.0,1226.0,3755.0,0.0,755.0,428.0,0.0,835.0,1535.0,199.0,0.0,0.0,994.0,104.0,0.0,5103.0,342.0,341.0,491.0,524.0,257.0
Hermosillo,0.0,0.0,32.0,505.0,537.0,3100.0,473.0,0.0,1246.0,0.0,0.0,0.0,214.0,280.0,976.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,0.0,0.0,0.0
