Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acapulco,Total,502483,478023,594812,428646,369129,363400,342320,349129,300106,275513,255295,273860,279859,291072,330459,378145,418450,316558,280113,238888,237374,280182,289492,341824,336813,318118,334546,409396
Acapulco,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Cancún,749,1297,723,1551,3514,5196,3605,1154,0,0,206,518,181,196,0,82,172,0,0,0,147,0,0,68,0,0,0,3738
Acapulco,Celaya,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Chihuahua,0,0,0,0,519,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Ciudad del Carmen,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0
Acapulco,Ciudad Juárez,0,0,0,0,98,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Ciudad Victoria,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
Acapulco,Cuernavaca,0,0,1439,591,319,2064,2348,450,397,495,1321,123,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Culiacán,0,0,34,12,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
Acapulco,Guadalajara,12227,24713,23225,14767,14861,17472,21859,22135,9882,9205,7855,7714,8545,7231,7843,11645,6726,3733,10986,151,197,157,311,28,689,3859,8531,20970
Acapulco,Hermosillo,0,0,0,0,0,0,0,0,321,84,0,34,0,931,4951,4916,2336,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Huatulco,0,0,0,0,0,0,0,0,35,0,106,0,0,0,0,0,0,0,0,0,0,192,0,69,0,83,0,0
Acapulco,Jalapa,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Lázaro Cárdenas,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,León,2383,3260,3371,80,0,0,0,0,0,0,0,130,0,0,0,0,0,0,43,50,0,0,0,0,0,0,0,0
Acapulco,Manzanillo,77,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Mazatlán,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Mérida,68,119,0,0,0,599,646,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Mexicali,71,53,22,124,24,0,0,0,0,0,0,0,0,193,1370,999,97,0,0,0,0,0,0,0,0,0,0,0
Acapulco,México,476890,425202,538151,389320,315300,303588,283180,282889,270251,244626,223772,227617,229374,231615,232281,242572,259953,213164,184761,153367,154194,187621,208587,245046,253728,231195,239339,288684
Acapulco,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
Acapulco,Monterrey,2120,11599,10480,2201,5774,4588,3660,5298,8359,4121,3387,3442,5602,7723,10286,22789,20447,16707,14527,12170,14478,15827,17332,23968,28350,26897,23322,22920
Acapulco,Morelia,0,56,0,0,0,0,19,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Nuevo Laredo,0,150,0,0,0,0,0,0,0,436,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Oaxaca,0,4,0,222,5693,6949,2594,3730,254,0,180,1844,3714,3652,2100,2633,177,0,0,0,0,114,191,153,26,0,40,0
Acapulco,Poza Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
