Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acapulco,Total,6271,6795,8295,7039,6637,7378,7605,6477,4346,5177,5039,5375,4861,5388,6270,7363,6699,5164,4663,4019,3910,4227,4641,5087,4931,4366,4448,5592
Acapulco,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Cancún,17,17,10,17,17,37,34,11,0,0,2,3,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0,28
Acapulco,Celaya,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Chihuahua,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Ciudad del Carmen,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acapulco,Ciudad Juárez,0,0,0,0,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Ciudad Victoria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Acapulco,Cuernavaca,0,0,62,37,18,100,144,131,224,343,360,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Culiacán,0,0,62,29,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acapulco,Guadalajara,261,544,765,567,703,717,728,687,500,707,652,617,654,627,592,666,271,144,272,1,2,1,22,1,19,112,275,332
Acapulco,Hermosillo,0,0,0,0,0,0,0,0,68,8,0,2,0,76,279,414,113,0,0,1,0,0,0,0,0,0,0,0
Acapulco,Huatulco,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0
Acapulco,Jalapa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Lázaro Cárdenas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,León,105,106,107,5,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Acapulco,Manzanillo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Mazatlán,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Mérida,42,10,0,0,0,129,155,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Mexicali,3,6,2,6,2,0,0,0,0,0,0,0,0,51,285,307,13,0,0,0,0,0,0,0,0,0,0,0
