estado,vuelos,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Acapulco, Gro.",Total Estado,9269.0,9499.0,7938,7856,8116,8002,748640,8508,9151,8446,7797,7494,6833,6711,5521,6410,5893,5544,5473,6144,6906,7320,7484,6229,5584,4651,4346,4689,4982,5378,5158,4629,4781,5892
"Acapulco, Gro.",   Nacionales,,,4870,4390,4889,5550,512695,6599,7473,6451,5982,5385,5022,4850,3925,5043,4830,4622,4457,4818,5391,5827,6317,5250,4767,4126,3993,4355,4680,5102,4958,4413,4594,5703
"Acapulco, Gro.",   Internacionales,,,3068,3466,3227,2452,235945,1909,1678,1995,1815,2109,1811,1861,1596,1367,1063,922,1016,1326,1515,1493,1167,979,817,525,353,334,302,276,200,216,187,189
"Aguascalientes, Ags.",Total Estado,1250.0,1343.0,1189,1445,1665,2201,136279,3354,3214,3770,4242,4337,4256,4328,4158,4219,4301,3786,3906,3642,3699,4372,4491,3245,3404,3677,4333,4422,5006,5171,5189,5414,6358,5552
"Aguascalientes, Ags.",   Nacionales,,,1189,1445,1665,2196,136229,3354,3214,3770,4242,4334,4256,4247,3782,3488,3419,2911,2692,2182,2172,2935,3325,2484,2608,2539,2989,3104,3769,3928,3918,3947,4746,3872
"Aguascalientes, Ags.",   Internacionales,,,0,0,0,5,50,0,0,0,0,3,0,81,376,731,882,875,1214,1460,1527,1437,1166,761,796,1138,1344,1318,1237,1243,1271,1467,1612,1680
"Bahías de Huatulco, Oax.",Total Estado,0.0,24.0,353,862,1248,2090,173291,2083,2246,2507,2425,2350,2149,2018,2380,2337,2124,1450,1596,1972,2244,2255,2217,2200,2158,2713,2332,2545,3141,3470,3869,4138,4166,4485
"Bahías de Huatulco, Oax.",   Nacionales,,,320,732,1073,1910,160434,1938,1833,2321,2115,2081,1902,1809,2197,2206,2048,1375,1513,1756,1936,1928,1905,1924,1865,2375,2040,2133,2711,3042,3406,3622,3723,4050
"Bahías de Huatulco, Oax.",   Internacionales,,,33,130,175,180,12857,145,413,186,310,269,247,209,183,131,76,75,83,216,308,327,312,276,293,338,292,412,430,428,463,516,443,435
"Campeche, Camp.",Total Estado,281.0,212.0,410,739,532,363,27303,566,475,376,366,374,521,739,873,830,689,734,1027,1249,1110,1343,1351,1081,1223,1176,1260,1364,1604,1484,1437,1247,1079,1052
"Campeche, Camp.",   Nacionales,,,410,739,532,363,27280,550,461,376,366,374,521,739,873,830,689,734,1025,1245,1108,1338,1344,1081,1223,1176,1260,1364,1604,1484,1437,1247,1079,1052
"Campeche, Camp.",   Internacionales,,,0,0,0,0,23,16,14,0,0,0,0,0,0,0,0,0,2,4,2,5,7,0,0,0,0,0,0,0,0,0,0,0
