"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Acapulco, Gro.",9269,9499,7938,7856,8116,8002,748640,8508,9151,8446,7797,7494,6833,6711,5521,6410,5893,5544,5473,6144,6906,7320,7484,6229,5584,4651,4346,4689,4982,5378,5158,4629,4781,5892
"   Nacionales",,,4870,4390,4889,5550,512695,6599,7473,6451,5982,5385,5022,4850,3925,5043,4830,4622,4457,4818,5391,5827,6317,5250,4767,4126,3993,4355,4680,5102,4958,4413,4594,5703
"   Internacionales",,,3068,3466,3227,2452,235945,1909,1678,1995,1815,2109,1811,1861,1596,1367,1063,922,1016,1326,1515,1493,1167,979,817,525,353,334,302,276,200,216,187,189
"   Regulares",8709,8794,7291,6925,7302,7586,684706,8166,8610,8012,7164,6774,5914,5732,4703,5923,5496,5102,5031,5613,6347,6897,7138,5970,5372,4502,4304,4647,4947,5351,5128,4601,4734,5845
"          Nacionales Regulares",6132,5998,4760,4275,4749,5446,508489,6529,7252,6369,5583,5344,4972,4739,3737,4950,4685,4429,4272,4606,5152,5646,6146,5127,4675,4039,3993,4355,4680,5102,4958,4413,4594,5703
"          Internacionales Regulares",2577,2796,2531,2650,2553,2140,176217,1637,1358,1643,1581,1430,942,993,966,973,811,673,759,1007,1195,1251,992,843,697,463,311,292,267,249,170,188,140,142
"   Charters",560,705,647,931,814,416,63934,342,541,434,633,720,919,979,818,487,397,442,442,531,559,423,346,259,212,149,42,42,35,27,30,28,47,47
"         Charters Nacionales",0,0,110,115,140,104,4206,70,221,82,399,41,50,111,188,93,145,193,185,212,239,181,171,123,92,87,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,537,816,674,312,59728,272,320,352,234,679,869,868,630,394,252,249,257,319,320,242,175,136,120,62,42,42,35,27,30,28,47,47
"Aguascalientes, Ags.",1250,1343,1189,1445,1665,2201,136279,3354,3214,3770,4242,4337,4256,4328,4158,4219,4301,3786,3906,3642,3699,4372,4491,3245,3404,3677,4333,4422,5006,5171,5189,5414,6358,5552
"   Nacionales",,,1189,1445,1665,2196,136229,3354,3214,3770,4242,4334,4256,4247,3782,3488,3419,2911,2692,2182,2172,2935,3325,2484,2608,2539,2989,3104,3769,3928,3918,3947,4746,3872
