"zona_arqueologica","estado","ciudad"
"Z.A. de El Vallecito","Baja California","Tijuana"
"Z.A. de Izapa","Chiapas","Tuxtla Gutiérrez"
"Z.A. de Cerro de la Estrella","Ciudad de México","Ciudad de México"
"Z.A. de Cuicuilco con museo de sitio","Ciudad de México","Ciudad de México"
"Z. A. de Mixcoac1/","Ciudad de México","Ciudad de México"
"Z.A. de Tlatelolco con museo de sitio","Ciudad de México","Ciudad de México"
"Z.A. de La Ferrería con museo de sitio","Jalisco","Guadalajara"
"Z.A. de Calixtlahuaca","Estado de México","Toluca de Lerdo"
"Z.A. de La Sabana","Guerrero","Acapulco"
"Z.A. de Palma Sola","Guerrero","Acapulco"
"Z.A. de Teopanzolco","Morelos","Cuautla de Morelos"
"Z.A. de Cantona","Puebla de Zaragoza","Puebla de Zaragoza"
"Z.A. de El Meco","Quintana Roo","Cancún"
"Z.A. de El Rey","Quintana Roo","Cancún"
"Z.A. de Las Flores","Tamaulipas","Tampico"
"Z.A. de Acanceh","Yucatán","Mérida"
"Z.A. de Chichén Itzá","Yucatán","Mérida"
"Z.A. de Dzibilchaltún con museo del Pueblo Maya","Yucatán","Mérida"
"Z.A. de Labná","Yucatán","Mérida"
"Z.A. de Loltún","Yucatán","Mérida"
"Z.A. de Xlapak","Yucatán","Mérida"
